,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,date,id,Текст,views.count,likes.count,reposts.count,type,link,post_id,parents_stack,Район,Street,Score,Numbers,initial_street,Toponims,full_street_name,location_options,addr_to_geocode,only_full_street_name,Location,geometry,other_geo_obj,geo_obj_tag,cats,probs
28,595,595,1287,15430,2022-12-28 21:18:32,32080,"Заметили, так и подумала, что идентичную поставили чтобы была как старая. Это лучше чем ничего. Ещё бы дорожки там отсыпали, хотя бы вокруг площадки. От площадки на Софийской 40 нашему кварталу ни холодно ни жарко, в этом квартале площадок и так больше всего.",,0,,comment,,32022.0,,Фрунзенский,софийской,0.984,40,Софийской,,"Софийская площадь 40 Санкт-Петербург Россия,Софийская улица 40 Санкт-Петербург Россия","['Софийская площадь 40 Санкт-Петербург Россия', 'Софийская улица 40 Санкт-Петербург Россия']",Софийская улица 40 Санкт-Петербург Россия,Софийская улица,"40 к2, Софийская улица, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192236, Россия",POINT (30.410498511967788 59.871363),,street,Благоустройство,0.88
30,597,597,1289,15432,2022-12-31 00:05:54,32188,"А можно узнать, а для школьников будет оборудование, например теннисный стол? А конкретно возле дома по Турку 22 к.1.",,0,,comment,,32022.0,,Фрунзенский,турку,0.848,22,Турку,,улица Турку 22 Санкт-Петербург Россия,['улица Турку 22 Санкт-Петербург Россия'],улица Турку 22 Санкт-Петербург Россия,улица Турку,"22 к5, улица Турку, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192238, Россия",POINT (30.400745331145306 59.870817450000004),,street,Благоустройство,0.999
31,598,598,1299,15442,2022-12-27 14:38:12,31994,"Во дворе софийской 31 куча тополей, которые вечно ломаются, летом задыхаемся от пуха.",,1,,comment,,31987.0,,Фрунзенский,софийской,0.947,31,софийской,,"Софийская площадь 31 Санкт-Петербург Россия,Софийская улица 31 Санкт-Петербург Россия","['Софийская площадь 31 Санкт-Петербург Россия', 'Софийская улица 31 Санкт-Петербург Россия']",Софийская площадь 31 Санкт-Петербург Россия,Софийская площадь,"Софийская площадь, София, Пушкин, Санкт-Петербург, Северо-Западный федеральный округ, Россия",POINT (30.393819703189873 59.7052558),,street,Благоустройство,0.878
32,599,599,1299,15442,2022-12-27 14:38:12,31994,"Во дворе софийской 31 куча тополей, которые вечно ломаются, летом задыхаемся от пуха.",,1,,comment,,31987.0,,Фрунзенский,софийской,0.947,31,софийской,,"Софийская площадь 31 Санкт-Петербург Россия,Софийская улица 31 Санкт-Петербург Россия","['Софийская площадь 31 Санкт-Петербург Россия', 'Софийская улица 31 Санкт-Петербург Россия']",Софийская площадь 31 Санкт-Петербург Россия,Софийская улица,"Софийская площадь, София, Пушкин, Санкт-Петербург, Северо-Западный федеральный округ, Россия",POINT (30.393819703189873 59.7052558),,street,Строительство,0.996
33,600,600,1299,15442,2022-12-27 14:38:12,31994,"Во дворе софийской 31 куча тополей, которые вечно ломаются, летом задыхаемся от пуха.",,1,,comment,,31987.0,,Фрунзенский,софийской,0.947,31,софийской,,"Софийская площадь 31 Санкт-Петербург Россия,Софийская улица 31 Санкт-Петербург Россия","['Софийская площадь 31 Санкт-Петербург Россия', 'Софийская улица 31 Санкт-Петербург Россия']",Софийская улица 31 Санкт-Петербург Россия,Софийская площадь,"Продукты, 31, Софийская улица, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192236, Россия",POINT (30.3972342 59.877184),,street,Благоустройство,0.998
34,601,601,1299,15442,2022-12-27 14:38:12,31994,"Во дворе софийской 31 куча тополей, которые вечно ломаются, летом задыхаемся от пуха.",,1,,comment,,31987.0,,Фрунзенский,софийской,0.947,31,софийской,,"Софийская площадь 31 Санкт-Петербург Россия,Софийская улица 31 Санкт-Петербург Россия","['Софийская площадь 31 Санкт-Петербург Россия', 'Софийская улица 31 Санкт-Петербург Россия']",Софийская улица 31 Санкт-Петербург Россия,Софийская улица,"Продукты, 31, Софийская улица, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192236, Россия",POINT (30.3972342 59.877184),,street,Благоустройство,0.998
40,607,607,1304,15447,2022-12-27 21:05:11,32004,"На углу дома по ул. Белы Куна 14, у 8й парадной, деревья слишком разрослись, солнца почти не видим. Осенью и весной даже окна потеют от сырости, солнце не сушит",,1,,comment,,31987.0,,Фрунзенский,белы куна,0.977,14,Белы Куна,,улица Белы Куна 14 Санкт-Петербург Россия,['улица Белы Куна 14 Санкт-Петербург Россия'],улица Белы Куна 14 Санкт-Петербург Россия,улица Белы Куна,"14, улица Белы Куна, округ Волковское, Санкт-Петербург, Северо-Западный федеральный округ, 192238, Россия",POINT (30.38217332783774 59.874366800000004),,street,Строительство,0.956
41,608,608,1314,15457,2022-12-26 17:29:04,31977,Подскажите пожалуйста. На Турку 2-1 планируется праздничное мероприятие? Спасибо.,,0,,comment,,31976.0,,Фрунзенский,турку,,21,Турку,,улица Турку 21 Санкт-Петербург Россия,['улица Турку 21 Санкт-Петербург Россия'],улица Турку 21 Санкт-Петербург Россия,улица Турку,"21 к2, улица Турку, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192238, Россия",POINT (30.39493763324739 59.864809699999995),,street,Строительство,0.956
45,612,612,1429,15572,2022-12-23 03:17:41,31883,"Во дворе турку 20 убрали старые качели и теперь вообще нет детской площадки.а что- нибудь для детей будет?во дворе есть ещё 1 площадка, маленькая,старая и совсем убогая.",,1,,comment,,31793.0,,Фрунзенский,турку,0.845,20,турку,,улица Турку 20 Санкт-Петербург Россия,['улица Турку 20 Санкт-Петербург Россия'],улица Турку 20 Санкт-Петербург Россия,улица Турку,"Информационно-методический центр, 20 к2, улица Турку, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192241, Россия",POINT (30.399574825303148 59.86831085),,street,Безопасность,0.353
46,613,613,1590,15733,2022-12-19 03:58:01,31600,Очередь за билетами в Рыбацком.,,3,,comment,,31431.0,,Фрунзенский,рыбацком,,,Рыбацком,,"Рыбацкий мост  Санкт-Петербург Россия,дорога в Рыбацкое  Санкт-Петербург Россия,Рыбацкий проспект  Санкт-Петербург Россия","['Рыбацкий мост  Санкт-Петербург Россия', 'дорога в Рыбацкое  Санкт-Петербург Россия', 'Рыбацкий проспект  Санкт-Петербург Россия']",Рыбацкий мост  Санкт-Петербург Россия,Рыбацкий мост,"Рыбацкий мост, Рыбацкое, округ Рыбацкое, Санкт-Петербург, Северо-Западный федеральный округ, 192076, Россия",POINT (30.5199454 59.8348967),,street,Безопасность,0.353
47,614,614,1590,15733,2022-12-19 03:58:01,31600,Очередь за билетами в Рыбацком.,,3,,comment,,31431.0,,Фрунзенский,рыбацком,,,Рыбацком,,"Рыбацкий мост  Санкт-Петербург Россия,дорога в Рыбацкое  Санкт-Петербург Россия,Рыбацкий проспект  Санкт-Петербург Россия","['Рыбацкий мост  Санкт-Петербург Россия', 'дорога в Рыбацкое  Санкт-Петербург Россия', 'Рыбацкий проспект  Санкт-Петербург Россия']",Рыбацкий мост  Санкт-Петербург Россия,дорога в Рыбацкое,"Рыбацкий мост, Рыбацкое, округ Рыбацкое, Санкт-Петербург, Северо-Западный федеральный округ, 192076, Россия",POINT (30.5199454 59.8348967),,street,Безопасность,0.353
48,615,615,1590,15733,2022-12-19 03:58:01,31600,Очередь за билетами в Рыбацком.,,3,,comment,,31431.0,,Фрунзенский,рыбацком,,,Рыбацком,,"Рыбацкий мост  Санкт-Петербург Россия,дорога в Рыбацкое  Санкт-Петербург Россия,Рыбацкий проспект  Санкт-Петербург Россия","['Рыбацкий мост  Санкт-Петербург Россия', 'дорога в Рыбацкое  Санкт-Петербург Россия', 'Рыбацкий проспект  Санкт-Петербург Россия']",Рыбацкий мост  Санкт-Петербург Россия,Рыбацкий проспект,"Рыбацкий мост, Рыбацкое, округ Рыбацкое, Санкт-Петербург, Северо-Западный федеральный округ, 192076, Россия",POINT (30.5199454 59.8348967),,street,Строительство,0.999
49,616,616,1590,15733,2022-12-19 03:58:01,31600,Очередь за билетами в Рыбацком.,,3,,comment,,31431.0,,Фрунзенский,рыбацком,,,Рыбацком,,"Рыбацкий мост  Санкт-Петербург Россия,дорога в Рыбацкое  Санкт-Петербург Россия,Рыбацкий проспект  Санкт-Петербург Россия","['Рыбацкий мост  Санкт-Петербург Россия', 'дорога в Рыбацкое  Санкт-Петербург Россия', 'Рыбацкий проспект  Санкт-Петербург Россия']",дорога в Рыбацкое  Санкт-Петербург Россия,Рыбацкий мост,"дорога в Рыбацкое, деревня Рыбацкое, округ Полюстрово, Санкт-Петербург, Северо-Западный федеральный округ, 195043, Россия",POINT (30.4888731 59.9933692),,street,Строительство,0.999
50,617,617,1590,15733,2022-12-19 03:58:01,31600,Очередь за билетами в Рыбацком.,,3,,comment,,31431.0,,Фрунзенский,рыбацком,,,Рыбацком,,"Рыбацкий мост  Санкт-Петербург Россия,дорога в Рыбацкое  Санкт-Петербург Россия,Рыбацкий проспект  Санкт-Петербург Россия","['Рыбацкий мост  Санкт-Петербург Россия', 'дорога в Рыбацкое  Санкт-Петербург Россия', 'Рыбацкий проспект  Санкт-Петербург Россия']",дорога в Рыбацкое  Санкт-Петербург Россия,дорога в Рыбацкое,"дорога в Рыбацкое, деревня Рыбацкое, округ Полюстрово, Санкт-Петербург, Северо-Западный федеральный округ, 195043, Россия",POINT (30.4888731 59.9933692),,street,Строительство,0.999
51,618,618,1590,15733,2022-12-19 03:58:01,31600,Очередь за билетами в Рыбацком.,,3,,comment,,31431.0,,Фрунзенский,рыбацком,,,Рыбацком,,"Рыбацкий мост  Санкт-Петербург Россия,дорога в Рыбацкое  Санкт-Петербург Россия,Рыбацкий проспект  Санкт-Петербург Россия","['Рыбацкий мост  Санкт-Петербург Россия', 'дорога в Рыбацкое  Санкт-Петербург Россия', 'Рыбацкий проспект  Санкт-Петербург Россия']",дорога в Рыбацкое  Санкт-Петербург Россия,Рыбацкий проспект,"дорога в Рыбацкое, деревня Рыбацкое, округ Полюстрово, Санкт-Петербург, Северо-Западный федеральный округ, 195043, Россия",POINT (30.4888731 59.9933692),,street,Строительство,0.999
52,619,619,1590,15733,2022-12-19 03:58:01,31600,Очередь за билетами в Рыбацком.,,3,,comment,,31431.0,,Фрунзенский,рыбацком,,,Рыбацком,,"Рыбацкий мост  Санкт-Петербург Россия,дорога в Рыбацкое  Санкт-Петербург Россия,Рыбацкий проспект  Санкт-Петербург Россия","['Рыбацкий мост  Санкт-Петербург Россия', 'дорога в Рыбацкое  Санкт-Петербург Россия', 'Рыбацкий проспект  Санкт-Петербург Россия']",Рыбацкий проспект  Санкт-Петербург Россия,Рыбацкий мост,"Рыбацкий проспект, Рыбацкое, округ Рыбацкое, Санкт-Петербург, Северо-Западный федеральный округ, 192076, Россия",POINT (30.5154975 59.8375656),,street,Строительство,0.994
53,620,620,1590,15733,2022-12-19 03:58:01,31600,Очередь за билетами в Рыбацком.,,3,,comment,,31431.0,,Фрунзенский,рыбацком,,,Рыбацком,,"Рыбацкий мост  Санкт-Петербург Россия,дорога в Рыбацкое  Санкт-Петербург Россия,Рыбацкий проспект  Санкт-Петербург Россия","['Рыбацкий мост  Санкт-Петербург Россия', 'дорога в Рыбацкое  Санкт-Петербург Россия', 'Рыбацкий проспект  Санкт-Петербург Россия']",Рыбацкий проспект  Санкт-Петербург Россия,дорога в Рыбацкое,"Рыбацкий проспект, Рыбацкое, округ Рыбацкое, Санкт-Петербург, Северо-Западный федеральный округ, 192076, Россия",POINT (30.5154975 59.8375656),,street,Строительство,0.994
54,621,621,1590,15733,2022-12-19 03:58:01,31600,Очередь за билетами в Рыбацком.,,3,,comment,,31431.0,,Фрунзенский,рыбацком,,,Рыбацком,,"Рыбацкий мост  Санкт-Петербург Россия,дорога в Рыбацкое  Санкт-Петербург Россия,Рыбацкий проспект  Санкт-Петербург Россия","['Рыбацкий мост  Санкт-Петербург Россия', 'дорога в Рыбацкое  Санкт-Петербург Россия', 'Рыбацкий проспект  Санкт-Петербург Россия']",Рыбацкий проспект  Санкт-Петербург Россия,Рыбацкий проспект,"Рыбацкий проспект, Рыбацкое, округ Рыбацкое, Санкт-Петербург, Северо-Западный федеральный округ, 192076, Россия",POINT (30.5154975 59.8375656),,street,Строительство,0.994
70,637,637,1743,15886,2022-12-16 18:51:27,31257,У турку 22 кор 2 тоже сегодня поставили 2 скамейки,,1,,comment,,31220.0,,Фрунзенский,турку,0.979,22,турку,,улица Турку 22 Санкт-Петербург Россия,['улица Турку 22 Санкт-Петербург Россия'],улица Турку 22 Санкт-Петербург Россия,улица Турку,"22 к5, улица Турку, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192238, Россия",POINT (30.400745331145306 59.870817450000004),,street,Благоустройство,0.999
71,638,638,1807,15950,2022-12-18 08:10:21,31388,"Добрый день! С адресом не могу разобраться, Ул Белы Куна 1 это к вам или нет?",,0,,comment,,31216.0,,Фрунзенский,белы куна,0.94,1,Белы Куна,,улица Белы Куна 1 Санкт-Петербург Россия,['улица Белы Куна 1 Санкт-Петербург Россия'],улица Белы Куна 1 Санкт-Петербург Россия,улица Белы Куна,"Участковый пункт полиции № 12, 13 к1, улица Белы Куна, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192238, Россия",POINT (30.3878708 59.8736437),,street,Благоустройство,0.999
76,643,643,1932,16075,2022-12-08 11:44:27,30929,"У Белы Куна 15/2 тоже спиливают. Спасибо большое, это дерево давно нам мешало.",,3,,comment,,30923.0,,Фрунзенский,белы куна,0.982,15,Белы Куна,,улица Белы Куна 15 Санкт-Петербург Россия,['улица Белы Куна 15 Санкт-Петербург Россия'],улица Белы Куна 15 Санкт-Петербург Россия,улица Белы Куна,"15 к3, улица Белы Куна, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192236, Россия",POINT (30.3923183 59.87455685),,street,Дороги,0.973
92,659,659,2141,16284,2022-12-12 10:05:42,31066,"Можно получить по фото паспорта мужа, Турку 31 подходит?",,0,,comment,,30781.0,,Фрунзенский,турку,0.955,31,Турку,,улица Турку 31 Санкт-Петербург Россия,['улица Турку 31 Санкт-Петербург Россия'],улица Турку 31 Санкт-Петербург Россия,улица Турку,"31, улица Турку, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192241, Россия",POINT (30.41067374431144 59.8659421),,street,Благоустройство,0.998
93,660,660,2143,16286,2022-12-12 10:38:43,31068,"Скажите пожалуйста,а если есть у меня собственность на квартиру проспект Славы 51 , мы там не прописаны,но проживаем,сможем ли получить билеты на ледовое шоу?Если да,то какие документы нужно принести?",,0,,comment,,30781.0,,Фрунзенский,славы,0.953,51,Славы,проспект,проспект Славы 51 Санкт-Петербург Россия,['проспект Славы 51 Санкт-Петербург Россия'],проспект Славы 51 Санкт-Петербург Россия,проспект Славы,"Алоэ, 51, проспект Славы, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192241, Россия",POINT (30.4106551 59.8636824),,street,Благоустройство,0.998
94,661,661,2147,16290,2022-12-12 11:14:08,31070,Турку 7 получается к вам не относятся? 😭,,0,,comment,,30781.0,,Фрунзенский,турку,0.793,7,Турку,,улица Турку 7 Санкт-Петербург Россия,['улица Турку 7 Санкт-Петербург Россия'],улица Турку 7 Санкт-Петербург Россия,улица Турку,"7, улица Турку, округ Купчино, Санкт-Петербург, Северо-Западный федеральный округ, 192071, Россия",POINT (30.37472308426347 59.86585625),,street,Благоустройство,0.998
95,662,662,2162,16305,2022-12-15 09:12:24,31182,И относится ли ул. Димитрова 17 к вам?,,0,,comment,,30781.0,,Фрунзенский,димитрова,0.986,17,Димитрова,улица,улица Димитрова 17 Санкт-Петербург Россия,['улица Димитрова 17 Санкт-Петербург Россия'],улица Димитрова 17 Санкт-Петербург Россия,улица Димитрова,"17 к1, улица Димитрова, Купчино, Георгиевский округ, Санкт-Петербург, Северо-Западный федеральный округ, 192284, Россия",POINT (30.393377573305955 59.84943145),,street,Строительство,0.838
101,668,668,2173,16319,2022-12-07 07:04:27,30755,"Никогда почему то не чистят дорожку от Пражской 39 в сторону угла с проспектом славы, люди идут по гусиной тропе",,0,,comment,,30751.0,,Фрунзенский,пражской,0.99,39,Пражской,,Пражская улица 39 Санкт-Петербург Россия,['Пражская улица 39 Санкт-Петербург Россия'],Пражская улица 39 Санкт-Петербург Россия,Пражская улица,"39, Пражская улица, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192071, Россия",POINT (30.400451482804307 59.863082750000004),,street,Другое,0.611
102,669,669,2206,16352,2022-12-06 08:35:29,30732,"Подскажите пожалуйста, прописка на Софийской 43 к 4, мы к этому округу относимся?",,0,,comment,,30708.0,,Фрунзенский,софийской,0.994,43,Софийской,,"Софийская площадь 43 Санкт-Петербург Россия,Софийская улица 43 Санкт-Петербург Россия","['Софийская площадь 43 Санкт-Петербург Россия', 'Софийская улица 43 Санкт-Петербург Россия']",Софийская площадь 43 Санкт-Петербург Россия,Софийская площадь,"Софийская площадь, София, Пушкин, Санкт-Петербург, Северо-Западный федеральный округ, Россия",POINT (30.393819703189873 59.7052558),,street,Безопасность,0.978
103,670,670,2206,16352,2022-12-06 08:35:29,30732,"Подскажите пожалуйста, прописка на Софийской 43 к 4, мы к этому округу относимся?",,0,,comment,,30708.0,,Фрунзенский,софийской,0.994,43,Софийской,,"Софийская площадь 43 Санкт-Петербург Россия,Софийская улица 43 Санкт-Петербург Россия","['Софийская площадь 43 Санкт-Петербург Россия', 'Софийская улица 43 Санкт-Петербург Россия']",Софийская площадь 43 Санкт-Петербург Россия,Софийская улица,"Софийская площадь, София, Пушкин, Санкт-Петербург, Северо-Западный федеральный округ, Россия",POINT (30.393819703189873 59.7052558),,street,ЖКХ,0.483
104,671,671,2206,16352,2022-12-06 08:35:29,30732,"Подскажите пожалуйста, прописка на Софийской 43 к 4, мы к этому округу относимся?",,0,,comment,,30708.0,,Фрунзенский,софийской,0.994,43,Софийской,,"Софийская площадь 43 Санкт-Петербург Россия,Софийская улица 43 Санкт-Петербург Россия","['Софийская площадь 43 Санкт-Петербург Россия', 'Софийская улица 43 Санкт-Петербург Россия']",Софийская улица 43 Санкт-Петербург Россия,Софийская площадь,"Софийская улица, 43, Софийская улица, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192236, Россия",POINT (30.4044966 59.8729027),,street,Другое,0.986
105,672,672,2206,16352,2022-12-06 08:35:29,30732,"Подскажите пожалуйста, прописка на Софийской 43 к 4, мы к этому округу относимся?",,0,,comment,,30708.0,,Фрунзенский,софийской,0.994,43,Софийской,,"Софийская площадь 43 Санкт-Петербург Россия,Софийская улица 43 Санкт-Петербург Россия","['Софийская площадь 43 Санкт-Петербург Россия', 'Софийская улица 43 Санкт-Петербург Россия']",Софийская улица 43 Санкт-Петербург Россия,Софийская улица,"Софийская улица, 43, Софийская улица, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192236, Россия",POINT (30.4044966 59.8729027),,street,Другое,0.941
109,676,676,2269,16415,2022-12-03 14:50:17,30666,"Когда будет площадка по адресу софийская 55? У нас вообще нет ни одной площадке , куда можно написать ?",,2,,comment,,30586.0,,Фрунзенский,софийская,0.98,55,софийская,,"Софийская площадь 55 Санкт-Петербург Россия,Софийская улица 55 Санкт-Петербург Россия","['Софийская площадь 55 Санкт-Петербург Россия', 'Софийская улица 55 Санкт-Петербург Россия']",Софийская площадь 55 Санкт-Петербург Россия,Софийская площадь,"Софийская площадь, София, Пушкин, Санкт-Петербург, Северо-Западный федеральный округ, Россия",POINT (30.393819703189873 59.7052558),,street,Дороги,0.841
110,677,677,2269,16415,2022-12-03 14:50:17,30666,"Когда будет площадка по адресу софийская 55? У нас вообще нет ни одной площадке , куда можно написать ?",,2,,comment,,30586.0,,Фрунзенский,софийская,0.98,55,софийская,,"Софийская площадь 55 Санкт-Петербург Россия,Софийская улица 55 Санкт-Петербург Россия","['Софийская площадь 55 Санкт-Петербург Россия', 'Софийская улица 55 Санкт-Петербург Россия']",Софийская площадь 55 Санкт-Петербург Россия,Софийская улица,"Софийская площадь, София, Пушкин, Санкт-Петербург, Северо-Западный федеральный округ, Россия",POINT (30.393819703189873 59.7052558),,street,ЖКХ,0.981
111,678,678,2269,16415,2022-12-03 14:50:17,30666,"Когда будет площадка по адресу софийская 55? У нас вообще нет ни одной площадке , куда можно написать ?",,2,,comment,,30586.0,,Фрунзенский,софийская,0.98,55,софийская,,"Софийская площадь 55 Санкт-Петербург Россия,Софийская улица 55 Санкт-Петербург Россия","['Софийская площадь 55 Санкт-Петербург Россия', 'Софийская улица 55 Санкт-Петербург Россия']",Софийская улица 55 Санкт-Петербург Россия,Софийская площадь,"Софийская улица, 55, Софийская улица, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192236, Россия",POINT (30.4097586 59.8693344),,street,ЖКХ,0.981
