Ссылка,МО
https://vk.com/polustrovo_i_sosedi,Полюстрово
https://vk.com/mo.polustrovo,Полюстрово
https://vk.com/ulyanka_spb,Ульянка
https://vk.com/mamomoulyanka,Ульянка
https://vk.com/super_avtovo,Автово
https://vk.com/public218012850,Автово
https://vk.com/public218497407,Автово
https://vk.com/mo_dachnoe,Дачное
https://vk.com/modachnoe,Дачное
https://vk.com/club10321379,Княжево
https://vk.com/public218449548,Княжево
https://vk.com/mo_redriver,Красненькая речка
https://vk.com/moredriver,Красненькая речка
https://vk.com/morskievorota,Морские ворота
https://vk.com/mamorskievorota,Морские ворота
https://vk.com/narvsky_okrug,Нарвский округ
https://vk.com/narvokrug,Нарвский округ
https://vk.com/public184868770,Сосновая Поляна
https://vk.com/krasnoe_selo,Красное Село
https://vk.com/krasnoe_selo_official,Красное Село
https://vk.com/spb_angl_milya,Сосновая Поляна
https://vk.com/mososnovayapolyana,Сосновая Поляна
https://vk.com/okeygorelovo,Горелово
https://vk.com/club177930722,Горелово
https://vk.com/akimov_deputat,Константиновское
https://vk.com/mo_konstantinovskoe,Константиновское
https://vk.com/urizk_spb,Урицк
https://vk.com/mamourizk,Урицк
https://vk.com/upmopen,Южно-Приморский округ
https://vk.com/moupspb,Южно-Приморский округ
https://vk.com/id542360064,Юго-Запад
https://vk.com/spbmougozapad,Юго-Запад
https://vk.com/club3258979,Кронштадт
https://vk.com/kronshtadt2000,Кронштадт
https://vk.com/public133494670,Кронштадт
https://vk.com/kronstadt.live,Кронштадт
https://vk.com/kronshtadtcity,Кронштадт
https://vk.com/pesochnysettlement,поселок Песочный
https://vk.com/poselokpesochniy,поселок Песочный
https://vk.com/sestroretskspb,Сестрорецк
https://vk.com/sestroretsk,Сестрорецк
https://vk.com/sestroreck.home,Сестрорецк
https://vk.com/mosestroretsk,Сестрорецк
https://vk.com/public84069186,Зеленогорск
https://vk.com/mozelenogorsk,Зеленогорск
https://vk.com/oldbeloostrov,Белоостров
https://vk.com/public217612741,Белоостров
https://vk.com/komarovo.true,Комарово
https://vk.com/public203390377,Комарово
https://vk.com/momolodejnoe,Молодежное
https://vk.com/club16759956,Солнечное
https://vk.com/mosolnechnoe,Солнечное
https://vk.com/moposelokushkovo,Ушково
https://vk.com/club135551,Солнечное
https://vk.com/repinomyhome,Репино
https://vk.com/club199535634,Репино
https://vk.com/club216829958,Серово
https://vk.com/mo_smol,Смолячково
https://vk.com/activ_shu,Шушары
https://vk.com/spb_town_detskoselsky_shushary,Шушары
https://vk.com/moshyshary,Шушары
https://vk.com/tjirlovo,поселок Терляево
https://vk.com/motyarlevo,поселок Терляево
https://vk.com/aleksandrovskaya178,поселок Александровская
https://vk.com/moaleksandrovskaya,поселок Александровская
https://vk.com/public6311,Пушкин
https://vk.com/mogpushkin,Пушкин
https://vk.com/pushkin_story,"Пушкин, Павловск"
https://vk.com/pavlovsk_adm,Павловск
https://vk.com/spbmo72,"Муниципальное образование № 72
"
https://vk.com/mo_aleksandrovskiy,"Муниципальное образование № 75
"
https://vk.com/mo_75,"Муниципальное образование № 75
"
https://vk.com/mobalkanskiy,муниципальный округ Балканский
https://vk.com/movolkovskoe,"Муниципальный округ Волковский
"
https://vk.com/mo_volkovskoe,"Муниципальный округ Волковский
"
https://vk.com/mo74spb,муниципальный округ Георгиевский
https://vk.com/kupchinonews,муниципальный округ Купчино
https://vk.com/frunzensky_district,муниципальный округ Купчино
https://vk.com/kupchinoask,муниципальный округ Купчино
https://vk.com/kupchino_mo,муниципальный округ Купчино
https://vk.com/nah_raionnew,"Петергоф, Ломоносов, Стрельна"
https://vk.com/vstrelne,Стрельна
https://vk.com/strelna_forever,Стрельна
https://vk.com/vestystrelnu,Стрельна
https://vk.com/new.petergof,Петергоф
https://vk.com/livepetergof,Петергоф
https://vk.com/mopetergof,Петергоф
https://vk.com/lomomams,Ломоносов
https://vk.com/lomonosovmo,Ломоносов
https://vk.com/clubfarmisl,Аптекарский остров
https://vk.com/moaptekarskyiostrov,Аптекарский остров
https://vk.com/mo_58,Введенский
https://vk.com/mo_kronverkskoe,Кронверкское
https://vk.com/mo.kronverkskoe,Кронверкское
https://vk.com/mo_petrovsk,Петровский
https://vk.com/moposadski,Посадский
https://vk.com/moposadsky,Посадский
https://vk.com/mochkalovskoe,Чкаловское
https://vk.com/gagarinskoe_mo,Гагаринское
https://vk.com/mo.gagarinskoe,Гагаринское
https://vk.com/public215977108,Гагаринское
https://vk.com/stellar_mom,Звездное
https://vk.com/moe_zvezdnoe,Звездное
https://vk.com/zvezdnoemo,Звездное
https://vk.com/moskovskaya.zastava,Московская застава
https://vk.com/mos_zastava,Московская застава
https://vk.com/mo_mz,Московская застава
https://vk.com/kvartal_7_10,Новоизмайловское
https://vk.com/mo_novoizmailovskoe_spb,Новоизмайловское
https://vk.com/nvzml,Новоизмайловское
https://vk.com/46momc,Новоизмайловское
https://vk.com/mo_pulkovskyi_meridian,Пулковский меридиан
https://vk.com/deputatlysovpavel,Пулковский меридиан
https://vk.com/mo_47,Пулковский меридиан
https://vk.com/zhivem_mo7,№7
https://vk.com/mcmomo7,№7
https://vk.com/zhivem_gavan,Гавань
https://vk.com/mogavan,Гавань
https://vk.com/zhivem_od,Остров Декабристов
https://vk.com/o_dec,Остров Декабристов
https://vk.com/zhivem_morskoi,Морской
https://vk.com/mo_morskoy,Морской
https://vk.com/zhivem_mov,Васильевский
https://vk.com/club72647163,Васильевский
https://vk.com/id461746024,Васильевский
https://vk.com/vechkolp,Колпино
https://vk.com/kolpinoask,Колпино
https://vk.com/kolpino,Колпино
https://vk.com/public87193871,Колпино
https://vk.com/vechmet,Металлострой
https://vk.com/met_on,Металлострой
https://vk.com/vmo_metallostroy,Металлострой
https://vk.com/pslavyanka,Петро-славянка
https://vk.com/ma_vmo_petroslavynka,Петро-славянка
https://vk.com/pontonniy_poselok,Понтонный
https://vk.com/vechsaper,Саперный
https://vk.com/mo_saperniy,Саперный
https://vk.com/vechizhora,Усть-Ижора
https://vk.com/vmoustizhora,Усть-Ижора
https://vk.com/ekateringofsky,Екатерингофский
https://vk.com/ekateringof_spb_ru,Екатерингофский
https://vk.com/7yabloko,Семеновский
https://vk.com/publicsemenci,Семеновский
https://vk.com/spb_kolomna,Коломна
https://vk.com/kolomnaspb,Коломна
https://vk.com/moadmiral,Адмиралтейский
https://vk.com/mo3_spb,Адмиралтейский
https://vk.com/moizspb,Измайловское
https://vk.com/mysennoy,Сенной
https://vk.com/sennoyokrug,Сенной
https://vk.com/spb_mo21,№21
https://vk.com/mo21spb,№21
https://vk.com/mo_akademka,Академическое
https://vk.com/mograjdanka,Гражданка
https://vk.com/mo.grajdanka,Гражданка
https://vk.com/piskarevka,Пискаревка
https://vk.com/mpiskarevka,Пискаревка
https://vk.com/mo24prometey,Прометей
https://vk.com/prometey_mo,Прометей
https://vk.com/info_severniy,Северный
https://vk.com/mo_nord_spb,Северный
https://vk.com/kalinin_fin,Финляндский округ
https://vk.com/club121568219,Финляндский округ
https://vk.com/finokrug,Финляндский округ
https://vk.com/mo_nevskyi_okrug,Невский
https://vk.com/mo_nevokrug,Невский
https://vk.com/okrug57,Правобережный
https://vk.com/mo_pravobereznyi,Правобережный
https://vk.com/mo_57,Правобережный
https://vk.com/moyokrug54,№ 54
https://vk.com/mun54,№ 54
https://vk.com/vmo54,№ 54
https://vk.com/club59242908,Оккервиль
https://vk.com/vmo_mo_okkervil,Оккервиль
https://vk.com/club59203522,Рыбацкое
https://vk.com/public169448329,Рыбацкое
https://vk.com/rybmo,Рыбацкое
https://vk.com/momonarodnyalter,Народный
https://vk.com/club59160781,Народный
https://vk.com/monaro53,Народный
https://vk.com/club59160422,Обуховский
https://vk.com/moobuhovskiy,Обуховский
https://vk.com/club59159590,Ивановский
https://vk.com/moivanovskiy,Ивановский
https://vk.com/nevskayzastava,Невская застава
https://vk.com/nasha_nevskaya_zastava,Невская застава
https://vk.com/monevskayazastava,Невская застава
,
,
https://vk.com/vyborg47,
https://vk.com/prio_rio,
https://vk.com/priozvedom,
https://vk.com/prio_online,
https://vk.com/priozersk,
https://vk.com/priozerskiy,
https://vk.com/gorodgatchina,
https://m.vk.com/gatchina24?offset=10&own=1,
https://vk.com/avtogatchina,
https://vk.com/gatchina__online,
https://vk.com/gtnstory,
https://vk.com/gatchina_live,
https://vk.com/gmr47,
https://vk.com/gatchina47,
,
,
,
,
,
