;Unnamed: 0;date;text;label_cat;loc_dist;loc_for_geocoding;source;source_cf;latitude;longitude;geometry;index_right;NAME
15;34.0;2022-02-23;Добрый день. Отчитались о проблеме,и фото приложили, только трактор к нам ни разу не приехал,и колии льда гигантские,машинам не припарковать! Может хоть раз почистят хорошо? Отобьют лед,вычистят дорогу. Можно и без фото,люди и так все видят!;Дороги;Красносельский;Добровольцев ул 26, Санкт-Петербург;ПОС;1.0;59.836929;30.1664341;POINT (30.1664341 59.836929);32.0;Урицк
16;35.0;2022-02-23;Дворы просто жуть не убраны на машине проехать не возможно, с коляской просто кашмар, всё это ещё обледенело, снаружи дома почищено а двор это просто жесть;Дороги;Московский;Взлетная ул 13, Санкт-Петербург;ПОС;1.0;59.8120712;30.2866444;POINT (30.2866444 59.8120712);41.0;Пулковский меридиан
17;36.0;2022-02-23;Слишком высокая колейность на дороге. Если у тебя не полноприводный внедорожник, то припарковать машину без мучений не возможно . Дном машины скребешь лёд, колёса застревают в колее. Прошу с преминением спец техники снять лёд с проезжей части;Дороги;Невский;Искровский пр-т, Санкт-Петербург;ПОС;1.0;59.9100917;30.4626288;POINT (30.4626288 59.9100917);96.0;Невский
18;37.0;2022-02-23;Не убирается снег. На проезде образовалась огромная колея. Примерно 15-20 см. Создаёт трудности при парковке и иногда является причиной повреждений автомобиля.;Дороги;Фрунзенский;Южное ш, Санкт-Петербург;ПОС;1.0;59.8677579;30.4295605;POINT (30.4295605 59.8677579);91.0;Ивановский
19;38.0;2022-02-23;Разбитая дорога по адресу: Энергетиков дом 40/4;Благоустройство;Красногвардейский;Энергетиков пр-т, Санкт-Петербург;ПОС;1.0;59.930742;30.4350452;POINT (30.4350452 59.930742);89.0;Малая Охта
20;39.0;2022-02-23;Весь проезд от Будапештской до Турку заполнен ямами. Они тут на любой вкус - от больших до огромных.;Дороги;Фрунзенский;;ПОС;1.0;46.3144754;11.0480288;POINT (11.0480288 46.3144754);;
21;40.0;2022-02-23;Дефекты покрытия. Огромные ямы;Благоустройство;Пушкинский;Ломоносова ул, Санкт-Петербург;ПОС;1.0;59.9281018;30.3368211;POINT (30.3368211 59.9281018);75.0;Владимирский
22;47.0;2022-02-23;Здравствуйте. Прошу разобраться почему во дворе с начала зимы не ездит трактор и не убирает снег? Образовалась такая колеия, что машина скребет днишем по льду и нет возможности припарковаться нормально.;Дороги;Красносельский;Котина ул 6к1, Санкт-Петербург;ПОС;1.0;59.8573577;30.210911;POINT (30.210911 59.8573577);39.0;Юго-Запад
23;48.0;2022-02-23;Во дворе дома по улице Стахановцев гололед;Дороги;Красногвардейский;Стахановцев ул, Санкт-Петербург;ПОС;1.0;59.927614;30.4073513;POINT (30.4073513 59.927614);89.0;Малая Охта
24;49.0;2022-02-23;За зиму ни разу не производилась очистка внутриквартального проезда по адресу ул Народная д2 . На дорожном покрытии образовалась наледь высотой достигающей 10 см и более с колеей и провалами, по сути это чистый лед , каток с ямами по которому не возможно перемещаться как пешеходам , так и автомобилям . Мои родители -пенсионеры, моя бабушка -ветеран Великой Отечественной войны , не могут безопасно выйти из собственного дома и сходить даже в магазин за продуктами! Прошу немедленно произвести очистку данного проезда от наледи и снега !;Дороги;Невский;Народная ул 2, Санкт-Петербург;ПОС;1.0;59.8809972;30.4776187;POINT (30.4776187 59.8809972);101.0;Народный
25;50.0;2022-02-23;Во дворах Чудновского 2/11 и Кржижановского 13 и 15 не убраны дороги от снега и льда, один сплошной каток. Дороги ни чем не посыпаны. Машины буксуют из-за отсутствия уборки во дворах. Просьба очистить дороги от снега и льда во дворах.;Дороги;Невский;Чудновского ул 2/11, Санкт-Петербург;ПОС;1.0;59.930457;30.4773793;POINT (30.4773793 59.930457);93.0;Правобережный
26;51.0;2022-02-23;Во дворе Чудновского 2/11 и Кржижановского д. 13 и д. 15 не убраны дворовые дороги и ни чем не посыпаны, один сплошной каток, от остановки до дома не возможно пройти. Просьба очистить от наледи дороги во дворах.;Дороги;Невский;Чудновского ул 2/11, Санкт-Петербург;ПОС;1.0;59.930457;30.4773793;POINT (30.4773793 59.930457);93.0;Правобережный
27;52.0;2022-02-23;Управляющая компания бездействует тротуары все во льду гололёд;Дороги;Приморский;;ПОС;1.0;46.3144754;11.0480288;POINT (11.0480288 46.3144754);;
28;53.0;2022-02-23;Во дворе по адресу Красное Село ул Гвардейская 8 к2 невозможно ходить!Люди ломают руки и ноги!Машинам тоже проехать без повреждений не удаётся!Такой беспредел твориться на протяжении всей зимы!Примите пожалуйста меры!;Дороги;Красносельский;Гвардейская ул 8к1, Санкт-Петербург;ПОС;1.0;59.9246797;29.6715716;POINT (29.6715716 59.9246797);11.0;Ломоносов
29;54.0;2022-02-23;Ледяные дороги... Подскользнулась, упала и потянула руку!!!;Дороги;Красносельский;Юных Пионеров ул, Санкт-Петербург;ПОС;1.0;59.7000216;30.1226295;POINT (30.1226295 59.7000216);17.0;Красное Село
30;55.0;2022-02-23;Необходимо с помощью спец техники очистить проезжую часть. Машину не могут нормально проехать, про людей вообще молчу, там просто нет для них безопасной дороги;Дороги;Невский;Искровский пр-т, Санкт-Петербург;ПОС;1.0;59.9100917;30.4626288;POINT (30.4626288 59.9100917);96.0;Невский
31;56.0;2022-02-23;Наледь. Нед посылки ПГМ.;Дороги;Красносельский;Авангардная ул, Санкт-Петербург;ПОС;1.0;59.8407447;30.1800723;POINT (30.1800723 59.8407447);32.0;Урицк
32;57.0;2022-02-23;Огромная ледяная колея. Машина цепляет днищем. Идти пешком тоже невозможно из за льда.;Дороги;Пушкинский;Пушкинская ул 50, Санкт-Петербург;ПОС;1.0;59.8059196;30.3785764;POINT (30.3785764 59.8059196);23.0;Шушары
34;59.0;2022-02-23;Не чистится проезд между домами 9 и 13 по ул.Чудновского, вот уже 8 дней. Не пройти, и не проехать.;Дороги;Невский;Чудновского ул 9, Санкт-Петербург;ПОС;1.0;59.9289488;30.4750172;POINT (30.4750172 59.9289488);93.0;Правобережный
35;60.0;2022-02-23;Не чистят снег, гололед вокруг дома 13 по ул. Чудновского. Пешеходы падают, как кегли.;Дороги;Невский;Чудновского ул 13, Санкт-Петербург;ПОС;1.0;59.9278598;30.4747488;POINT (30.4747488 59.9278598);93.0;Правобережный
36;66.0;2022-02-23;Очень глубокая яма. При оттепели она заполняется водой и ее не видно. Можно сильно повредить колесо.;Дороги;Красносельский;Таллинское ш, Санкт-Петербург;ПОС;1.0;59.8217919;30.1824586;POINT (30.1824586 59.8217919);18.0;Горелово
37;67.0;2022-02-23;Автомобильные выезды из нашего квартала(от дома по адресу Бухарестская 31-5) на улицу Турку или на улицу Будапештская в ужасающем состоянии. Огромные ямы в асфальте,в которых скапливается вода,лужи,грязь. Самое интересно,что 4 года назад эти выезды ремонтировались. Но ремонт был выполнен некачественно крайне. Нужно найти исполнителей ,должна же быть какой-то гарантийный срок.. Безобразие;Дороги;Фрунзенский;Бухарестская ул 31, Санкт-Петербург;ПОС;1.0;59.8659192;30.3835945;POINT (30.3835945 59.8659192);9.0;Купчино
38;68.0;2022-02-23;Здравствуйте. Разбита дорога на внутриквартальном проезде между домами Союзный 10 и 8 к.1 на выезде на сам Союзный проспект. На самом проспекте также огромные ямы требующие срочного ремонта. Прошу не писать отписок и оперативно провести ремонт, временную подсыпку до основного ремонта.;Дороги;Невский;Союзный пр-т, Санкт-Петербург;ПОС;1.0;59.924804;30.4384103;POINT (30.4384103 59.924804);93.0;Правобережный
39;69.0;2022-02-23;Ямы на дороге! На протяжении всего Загородного проспекта есть глубокие ямы. На фото участок дороги на Загородном проспекте 16. На фотографиях виден масштаб.;Дороги;Центральный;Загородный пр-т, Санкт-Петербург;ПОС;1.0;59.8534876;30.283486;POINT (30.283486 59.8534876);51.0;Княжево
40;70.0;2022-02-23;Большая яма на дороге.;Дороги;Кировский;Соломахинский пр-д, Санкт-Петербург;ПОС;1.0;59.8530453;30.2453579;POINT (30.2453579 59.8530453);40.0;Дачное
41;71.0;2022-02-23;От лица коллектива Оллфолейблс Рус и себя лично, прошу отремонтировать дорогу по адресу СПб, Красносельский район, Петергофское шоссе 73. На участке от железнодорожных путей до Петергофского шоссе 73 лит А , протяженностью 200 метров сплошные ямы . Глубина ям составляет от 10 до 27 см ( фото прилагается). Количество ям устрашает пешеходов и автолюбителей. Я лично вчера проехал по луже, которая прикрыла яму, после чего мне разорвало покрышку и согнуло колесный диск на автомобиле. После чего я понес существенные финансовые потери. Ежедневно автомашины увозят на эвакуаторах после попадания машин в ямы. Как эти ямы только не ремонтировали, засыпали камнями, закладывали кирпичами, даже заливали БЕТОНОМ!!!!( фото прилагается). Прошу отремонтировать данный участок с соблюдением всех технологий укладки асфальта.;Дороги;Красносельский;Петергофское ш 73, Санкт-Петербург;ПОС;1.0;59.8545673;30.1248794;POINT (30.1248794 59.8545673);26.0;Сосновая поляна
42;72.0;2022-02-23;Дорога вся в глубоких ямах. От талого снега ямы заполнились водой и не видно куда ехать. Та часть, которая не в ямах покрыта огромным количеством льда, машины застревают и не могут проехать.;Дороги;Приморский;Комендантский пр-т, Санкт-Петербург;ПОС;1.0;60.003704;30.284344;POINT (30.284344 60.003704);60.0;Комендантский аэродром
43;73.0;2022-02-23;Ямы на Огородном переулке, ориентир Трефолева 4к1.;Дороги;Выборгский;Огородный пер, Санкт-Петербург;ПОС;1.0;59.8852311;30.2769857;POINT (30.2769857 59.8852311);47.0;Нарвский
44;74.0;2022-02-23;Ямы по всей улице Руднева. Просьба провести ремонт, не ямочный, а капитальный, невозможно ездить!!;Дороги;Выборгский;Руднева ул, Санкт-Петербург;ПОС;1.0;60.0392287;30.3605608;POINT (30.3605608 60.0392287);82.0;№ 15
45;75.0;2022-02-23;Катастрофическое состояние асфальта на всей улице Есенина, приходится маневрировать вокруг ям, выезжая на встречную полосу, просьба провести ремонт дороги, не ямочный, а капитальный, после зимы ямы стали ещё больше. Спасибо!;Дороги;Выборгский;Есенина ул, Санкт-Петербург;ПОС;1.0;60.0580319;30.3472681;POINT (30.3472681 60.0580319);74.0;Парнас
46;91.0;2022-02-23;Мешки с мусором лежат постоянно прямо на тротуаре, рядом с домом на Наличной, 22.около входа в аптеку Озерки.;Отходы;Василеостровский;Наличная ул 22, Санкт-Петербург;ПОС;1.0;59.9374801;30.2329227;POINT (30.2329227 59.9374801);38.0;Гавань
47;97.0;2022-02-23;Добрый день. На улице Руставели 59 при въезде в карман на дороге не обирают наледь с дороги уже больше 3 недель , из-за этого участок дороги становится очень опасный и машинам не разъехаться, просьба большая направить это обращение к контролирующим этот участок службу, прикладываю фото наледи .;Дороги;Калининский;Руставели ул 59, Санкт-Петербург;ПОС;1.0;60.027445;30.4345023;POINT (30.4345023 60.027445);94.0;№ 21
49;110.0;2022-02-23;Очень скользко на тротуаре.;Дороги;Пушкинский;Переведенская ул, Санкт-Петербург;ПОС;1.0;59.7536412;30.3796832;POINT (30.3796832 59.7536412);23.0;Шушары
50;113.0;2022-02-23;Стачек 75 очень скользко, опять никто не убирает лёд и не посыпает ничем;Дороги;Кировский;Стачек пр-т, Санкт-Петербург;ПОС;1.0;59.9005118;30.2741452;POINT (30.2741452 59.9005118);47.0;Нарвский
52;270.0;2022-02-23;Администрация Приморского района так не хотела ставить ограждение газона, отправляла всех в непонятном направлении, не реагировала на обращение Фонтанки, что теперь газон после оттепели начали развозить колесами. И делают это все клиенты клиники Скандинавия, которая из-за своей жадности не предусмотрела парковку для своих клиентов и сотрудников.;Дороги;Приморский;Ильюшина ул, Санкт-Петербург;ПОС;1.0;60.0093091;30.2407926;POINT (30.2407926 60.0093091);50.0;Озеро Долгое
53;271.0;2022-02-23;Сорвало знак. Может полностью оторвать. И повредить машины или людей;Транспорт;Калининский;Гжатская ул, Санкт-Петербург;ПОС;1.0;60.0083728;30.3858815;POINT (30.3858815 60.0083728);85.0;Академическое
55;273.0;2022-02-23;"УК ООО ""Космосервис третья"". Адрес: Санкт-Петербург ул летчика лихолетова 14/2 На огромный двор с 4-мя домами две мусорки, и те в ужасном состоянии. Мусор валяется и не убирается под баками. Плюс наледь горбом. Около Мусорки даже песком не посыпано. Попробуй, подойди и не сломай ноги. Жители неоднократно видели бегающих мышей. И это новый дом, где толпы народу живут и коммуналку платят.";Отходы;Красносельский;Летчика Лихолетова ул 14к2, Санкт-Петербург;ПОС;1.0;59.8434177;30.1064983;POINT (30.1064983 59.8434177);26.0;Сосновая поляна
56;274.0;2022-02-23;Переполнение мусорного контейнера. Не вывозится КГМ.;Отходы;Красносельский;Лигово, Санкт-Петербург;ПОС;1.0;59.8232709;30.180905;POINT (30.180905 59.8232709);32.0;Урицк
57;275.0;2022-02-23;Несколько дней не вывозится мусор, гора растёт!;Отходы;Колпинский;Пролетарская ул 62к3, Санкт-Петербург;ПОС;1.0;59.7402649;30.5632703;POINT (30.5632703 59.7402649);106.0;Колпино
58;276.0;2022-02-23;Добрый день, мусор в жк палаццо не вывозится неделями, создаёт антисанитарные условия. Обращения в управляющую компанию не дают результат. Прошу оперативно решить проблему.;Отходы;Василеостровский;26-я линия ВО 7, Санкт-Петербург;ПОС;1.0;59.8231951;30.2506362;POINT (30.2506362 59.8231951);41.0;Пулковский меридиан
60;278.0;2022-02-23;Управляющая компания вывозит мусорные баки прямо перед парадными задолго до вывоза мусора и мы все это время ходим мимо гор мусора. Сегодня же вывоз мусора вообще не состоялся и эти горы стоят день с самого утра. Прилагаю несколько фото, но такое происходит у каждой парадной нашего дома.;Отходы;Василеостровский;26-я линия ВО 7, Санкт-Петербург;ПОС;1.0;59.8231951;30.2506362;POINT (30.2506362 59.8231951);41.0;Пулковский меридиан
61;279.0;2022-02-23;Не убирается мусор;Отходы;Приморский;Туристская ул 28к5, Санкт-Петербург;ПОС;1.0;60.0042394;30.2071425;POINT (30.2071425 60.0042394);36.0;№ 65
62;280.0;2022-02-23;Недавно я болела и вызывала 24.01.2022 врача по номеру 122. Врач не приехал, когда мне стало лучше,а именно 31.01.2022 я пришла в 88 поликлинику. Меня не выписали, но открыли больничный с даты вызова врача, т е вызывала я его 24го , 25го я не пошла на работу. Сейчас узнала, что больничный был открыт с 26го. Можете вы поднять история вызова врача по номеру 122 24 января по адресу Петергофское шоссе дом 59 кВ 265 для Голубевой Анны. Нужно исправить дату открытия больничного листа . Спасибо;Здравоохранение;Кировский;;ПОС;1.0;46.3144754;11.0480288;POINT (11.0480288 46.3144754);;
63;281.0;2022-02-23;У нас частный дом в посёлке Александровская Пушкинского района города Санкт-Петербурга. После мусорной реформы от 01.01.2022, из нашего собственного контейнера, который переполнен до краев, мусор никто не вывозит. Соответственно, уже 2 месяца мы не знаем, что делать с этой проблемой и куда нам носить наш новый мусор, учитывая, что в радиусе даже 1 километра, организованные мусорные контейнеры отсутствуют. По правилам СанПиН, мусорный контейнер должен располагаться на расстоянии от 20 до 100 метров. Самое поразительное то, что в квитанции за январь, нам в счёт была включена услуга НЭО, в размере 320р. Но данная услуга нам не оказывается! Прошу разъяснить сложившуюся ситуацию.;Отходы;Пушкинский;Полевая ул 25, Санкт-Петербург;ПОС;1.0;59.9946039;30.1709375;POINT (30.1709375 59.9946039);21.0;Лахта-Ольгино
64;284.0;2022-02-23;"В Колпинском районе г. СПб по адресу бульвар Трудящихся дом 17, рядом с домом находится место для сбора мусора, который не вывозят регулярно, а кроме всего мусор разбросан вокруг контейнера и разносится ветром ещё дальше. Зрелище жуткое, антисанитария полная, территория превратилась в ""свинарник"". Сколько может это продолжаться!??? Огромная просьба наладить регулярный вывоз мусора и очистку прилегающей территории!!!";Отходы;Колпинский;Трудящихся б-р 17, Санкт-Петербург;ПОС;1.0;59.7349661;30.5846019;POINT (30.5846019 59.7349661);106.0;Колпино
65;286.0;2022-02-23;7 парадная. Постоянно ломается лифт. Сейчас снова сломан. Для ЦУР: Калининский район. пр-т Мечникова д. 11.;ЖКХ;Калининский;Мечникова ул 11, Санкт-Петербург;ПОС;1.0;59.8937775;29.8539738;POINT (29.8539738 59.8937775);6.0;Петергоф
66;289.0;2022-02-23;Не работает информационное табло прибытия общественного транспорта. Прошу принять меры для восстановления его работоспособности.;Транспорт;Невский;Лиговский пр-т, Санкт-Петербург;ПОС;1.0;59.9241861;30.3613675;POINT (30.3613675 59.9241861);83.0;Лиговка-Ямская
67;292.0;2022-02-23;В 1-м подъезде по адресу: ул.Ярослава Гашека лом 12/100 по несколько месяцев не убирается 1-ый этаж, лестница убиралась только год назад! стены и углы - с грязью. Фото прилагаю, и так на каждом этаже. На жалобы УК ЖКС 3 не реагирует. Просьба принять соответствующие меры.;ЖКХ;Фрунзенский;Ярослава Гашека ул 12/100, Санкт-Петербург;ПОС;1.0;59.8360028;30.4022233;POINT (30.4022233 59.8360028);87.0;Балканский
68;293.0;2022-02-23;темнота, ни одного фонарного столба;Энергетика;Невский;Евдокима Огнева ул, Санкт-Петербург;ПОС;1.0;59.8973725;30.4701819;POINT (30.4701819 59.8973725);100.0;№ 54
70;295.0;2022-02-23;Обещали в январе сделать окна а так никто ничего не сделал, как были они открыты так и остались открыты. За что платим деньги????;ЖКХ;Фрунзенский;Ярослава Гашека ул 4к3, Санкт-Петербург;ПОС;1.0;59.8328499;30.3841462;POINT (30.3841462 59.8328499);87.0;Балканский
71;296.0;2022-02-23;Добрый день Я недавно болел ковидом У меня на госуслугах не появился QR-код Мои данные Подгорышев Андрей Викторович 05.02.2022 Полис в пос.Ленсоветовский.;Здравоохранение;Пушкинский;Ленсоветовский, Санкт-Петербург;ПОС;1.0;59.7590425;30.4702728;POINT (30.4702728 59.7590425);23.0;Шушары
72;297.0;2022-02-23;В кв. 36 уже больше года длиться ремонт. Всё это время мы живём в грязи. Вся парадная включая лестницу, стены, двери квартир, почтовые ящики, окна находятся под толстым слоем строительной пыли. Т. К. Мешки с мусором рабочие скидывали с 5 этажа. А сейчас мусор просто складируется на лестнице. Хозяйка квартиры считает, что она не должна всё это за собой убирать. Просим содействия по наведению порядка и чистоты на лестнице.;ЖКХ;Центральный;Красного Текстильщика ул 9-11, Санкт-Петербург;ПОС;1.0;59.9400033;30.3934747;POINT (30.3934747 59.9400033);29.0;Смольнинское
73;298.0;2022-02-23;"Паркоматы работают через один. Клавиатура вся стёрта, приходится догадываться где кнопка ""подтвердить"". Прошу привести паркоматы в рабочее состояние и заменить клавиатуры на всей территории платной парковки.";Транспорт;Центральный;Маяковского ул 45, Санкт-Петербург;ПОС;1.0;60.097404;30.2134931;POINT (30.2134931 60.097404);24.0;Левашово
74;304.0;2022-02-23;02.02.22 в поликлинике 95 Колпинского района сдавала тест на Ковид! Ответа до сих пор нет. Ходила лично в поликлинику, взяли номер телефона, сказали, что позвонят, как вопрос решится, звонка нет до сих пор. Ранее уже была написана жалоба 175018971 от 05.02.2022 от поликлиники получила «отписку», что якобы сделан повторный запрос в лабораторию, ответа так же нет. ГДЕ МОЙ Qr код?;Здравоохранение;Колпинский;;ПОС;1.0;46.3144754;11.0480288;POINT (11.0480288 46.3144754);;
75;308.0;2022-02-23;Перекресток Суздальского и Светлановского. Светофор до сих пор не работает. Очередная авария и разбитые машины. Пора бы починить!!!;Транспорт;Калининский;;ПОС;1.0;46.3144754;11.0480288;POINT (11.0480288 46.3144754);;
76;310.0;2022-02-23;Не производится уборка наледи во дворе дома по адресу ул.Чудновского дом 1. Проезжающие автомобили уже цепляют днищем слой льда из-за образовавшейся колеи. Пешеходы вынуждены передвигаться по колее, рискуя травмами. Никакой обработки песком гололеда не производится, состояние двора опасно для людей;ЖКХ;Невский;ул, Санкт-Петербург;ПОС;1.0;55.7362971;37.6230562;POINT (37.6230562 55.7362971);;
78;313.0;2022-02-23;На протяжении недели наблюдаю неудовлетворительную уборку пешеходных дорожек на пешеходной зоне на улице Турку от Бухарестской до Будапештской улиц. В чем проблемы? Нет песка посыпать дорожки, нет техники или горючего для неё? Нет личного состава в подразделениях службы? Да именно службы, которая подразумевает перечень необходимых действий для выполнения поставленных задач. Когда работать начнут? Или уже весна на носу, само всё растает?;Дороги;Фрунзенский;;ПОС;1.0;46.3144754;11.0480288;POINT (11.0480288 46.3144754);;
80;316.0;2022-02-23;Добрый день. Возмущению нет предела ! Пишу каждую неделю, а проблема не решается! Присылают отчет о проделанной работе в чужих дворах! Не на моей улице! Гололед и колии уже выше щиколотки! Дети падают,машинам не припарковаться! В соседнем доме вычислили до асфальта(Добровольцев 24) а в добровольцев 26 как был ужас внутри двора так и остался! Очистить дорогу до асфальта! И фотоотчет сс нашим домом,а не чужим;ЖКХ;Красносельский;Добровольцев ул 26, Санкт-Петербург;ПОС;1.0;59.836929;30.1664341;POINT (30.1664341 59.836929);32.0;Урицк
84;320.0;2022-02-23;Реклама на водосточных трубах;ЖКХ;Московский;Пулковская ул 15, Санкт-Петербург;ПОС;1.0;59.8371828;30.3496146;POINT (30.3496146 59.8371828);71.0;Звёздное
85;322.0;2022-02-23;Отсутствует козырёк над парадной у дома по Костромскому 42, 3я парадная. У соседних парадных этого же дома он есть. Фото прилагаю. Крыша у дома покатая, в оттепель с неё падает снег, это не безопасно! Страшно стоять около парадной зимой, а летом под дождём мокнуть.;ЖКХ;Центральный;Костромская ул 42, Санкт-Петербург;ПОС;1.0;59.9431004;30.3894644;POINT (30.3894644 59.9431004);29.0;Смольнинское
86;323.0;2022-02-23;Требуется ремонт фасада, у парадной во дворе.;ЖКХ;Центральный;Рылеева ул 11Б, Санкт-Петербург;ПОС;1.0;59.942381;30.362169;POINT (30.362169 59.942381);29.0;Смольнинское
88;327.0;2022-02-23;Требуется ремонт брусчатки под трубой водостока;ЖКХ;Центральный;Рылеева ул 11Б, Санкт-Петербург;ПОС;1.0;59.942381;30.362169;POINT (30.362169 59.942381);29.0;Смольнинское
89;329.0;2022-02-23;Незаконная рекламная конструкция;Благоустройство;Центральный;Кирочная ул 19, Санкт-Петербург;ПОС;1.0;59.9272773;30.3097558;POINT (30.3097558 59.9272773);64.0;Сенной
90;330.0;2022-02-23;В доме по адресу пр Обуховской Обороны, 243, подъезд 4, открыта дверь выхода на крышу. Этим пользуются дети, они заходят в подъезд и выходят на крышу! Это угрожает из безопасности! Необходимо закрыть выход на крышу на замок.;ЖКХ;Невский;Обуховской Обороны пр-т 243, Санкт-Петербург;ПОС;1.0;59.8741059;30.4485122;POINT (30.4485122 59.8741059);91.0;Ивановский
91;331.0;2022-02-23;"г. Кронштадт перекрёсток пр. Ленина и ул. Гражданская, введён в эксплуатацию светофорный объект, все светофоры типа Т1 по ГОСТ 52289-2019. Не учтёно, что ул. Гражданская является односторонней к пр. Ленина. В связи с чем светофоры по пр. Ленина (направление движения от ул. Флотской) должны быть в исполнении Т2 со стрелками ""прямо и налево"".";Транспорт;Кронштадтcкий;Гражданская ул, Санкт-Петербург;ПОС;1.0;59.9954249;29.7575759;POINT (29.7575759 59.9954249);4.0;Кронштадт
