;text
10;"От подписчицы:
______________
А вот так выглядит территория ЖК Мишино, принадлежащая городу! Везде мусор и грязь! Наш бедный пруд стремительно превращается в помойку, а там живут утки и есть рыба.

По всему ЖК сухие деревья, которые могут упасть от любого ветра на людей или припаркованные авто! А те, что распилили - так и лежат 2-й год!

Пирс разломан, качели тоже! Велодорожка давно не функционирует, вся разметка стерлась, а вдоль дорожек стоят открытые короба с проводами.

За 8 лет лет существования ЖК одно из малых дел, что было сделано - это недавно установленные новые алюминиевые урны. Наверное, это единственное, что мы заслужили…"
11;"В районе ЖК «Ленинский проспект» на набережной канала тоже свиношашлычники орудуют…

После парка «Два берега» грязь, мусор, бесконечные мангалы, которые они оставляют тут же. И как с такими бороться?"
12;"Послание водителю на Горшина, д.1 😅

Местные жители отмечают, что данный автовладелец постоянно ставит свое авто так, что перегораживает пешеходный проход"
13;"Ещё порция шикарных молний над городом минувшим вечером ⚡️

Фото - Damien Zhar"
14;"Ситуация в поселке Лунево в Химках… 😅
Пацаны утопили Porsche Taycan Cross Turismo, стоимостью ~12-15 млн ₽"
15;Ну какова красота в нашем городе! Всем доброе цветочное утро! 🌸🌼🍀
16;Завораживающая гроза в Химках ⚡️⛈️⚡️
17;"Пока над Химками только сверкает, но скоро начнется сильный ливень ☔️

В данный момент на западе от Химок уже дождь с градом"
18;"А вот и первая гроза в этом году в Химках на подходе ⛈️

Грозовые очаги к западу и северу от Москвы в эти минуты на холодном фронте.

Над Химками уже начало сверкать. Кому удастся заснять молнии, присылайте)"
19;"Какой прекрасный мог быть сейчас закат, если б не пожар где-то в районе Подрезково или Сходни на фоне 🤔
Кто в курсе, что горит опять?"
20;Одуванчиковые поля в Химках 🌼
21;Количество пыльцы на улицах Химок зашкаливает🤧
22;"Рыбаки на Барашкинском пруду 🎣 
Ловят на интерес и потом выпускают или кто-то потом ест эту рыбу? 🤔"
23;"⚡️⚡️В Подрезково кто-то выстрелил по жилому балкону

От подписчицы:
____________
18 апреля, примерно в 13:30, на Центральной улице, корпус 1, в мкр Подрезково, какой-то неизвестный человек выстрелил в балкон на 4 этаже. Пуля пробила кирпичную кладку дома и на внутренней стороне обсыпалась обшивка балкона."
24;"Пока Барашкинский пруд разваливается на глазах, на сайте администрации появилась новость о долгожданной реконструкции!

Сообщается, что сейчас проводится разработка проекта благоустройства с последующей реализацией работ, запланированных на 2026 год.
В пример приводится старый рендер (таким пруд должен был быть ещё лет 10 назад).

Жителям предлагается принять участие по созданию нового проекта по благоустройству территории и сообщить, что больше всего на Ваш взгляд необходимо учесть и создать на указанной территории?

Но если и в следующем году пруд не реконструируют, есть большая вероятность, что уже даже плитки не останется и мы будем ходить по истоптанным тропинкам 😅"
25;"Кто-то считает, что можно отбросить мораль и нарушить нормативы. Плевать на всё, прокатит! Но забывает, что потом это ещё надо выгодно продать.
А кто-то просто даже не подозревает, что дом вообще может сложиться из-за снесенной капитальной стены или ригеля. 
Я знаю случай, когда клиенту по наследству досталась такая квартира. Там было снесено много чего, и по всем стенам пошли трещины. Он не мог спать по ночам из-за переживаний, что дом рухнет и он будет виноват. Комфортно ли жить в такой квартире?
Можно пофантазировать, как бывает в жизни. Например...
Можно получить повестку в суд от соседей со всех этажей ниже, так как у них не работает вентиляция. Соседей допекло, что у них в квартирах теперь духота и появилась плесень. А вентиляции нет, так как предыдущий владелец снёс вентиляционный короб целиком. Снёс ради 0,7 квадратного метра. Снёс, чтобы кухня казалась больше, или чтобы лишний холодильник уместился. Я уже не один раз отговорил своих клиентов такое покупать.
Общение с приставом — не самое весёлое развлечение. Получить штраф и решение о том, что нужно всё вернуть к проектному состоянию, можно и в тот момент, когда лишних денег совсем нет.
Интересно, как будет работать страховка, если после затопления выяснится, что мокрая зона перенесена? А это частый страховой случай.
Какой дисконт попросят покупатели на то, чтобы заказать проект, провести работы и узаконить всё? Это не менее 200 000 — 400 000 по Москве. И плюс время.
‼️И так! Чего нельзя делать, если вы не житель первого этажа.
⛔️Переносить мокрую зону в жилую комнату и в кухню, кстати, тоже.
⛔️Переносить эту самую кухню тоже никуда нельзя. Если это не первый этаж.
⛔️Нельзя разрушать несущие стены или балки.
⛔️Не надо в ригелях делать кучу отверстий ради красоты или дизайнерской подсветки, или убирать из-за того, что они не вписываются в дизайн-идею.
⛔️Не стоит переносить отопление на балкон или лоджию.
❗️Если в квартире газ, то должна быть дверь на кухню.
❗️Теплые полы, проведённые от полотенцесушителя, сделанные в нулевые, — сегодня это риск затопить всех, кто ниже. Не полы, а минное поле.
Есть много разных решений, как добиться желаемого результата законно. Не ошибитесь.
_______________________
💻VK - https://vk.com/alexey_agent81sav
💻 VK - https://vk.com/prokvmos
📱 +7 (926) 341-19-44 - Алексей"
26;Химки украшают к 9 мая ⭐️
27;"ULTRAFORMER Mpt ✨
В чем преимущества процедуры:
• всего один сеанс ультразвукового SMAS-лифтинга на аппарате Ultraformer Mpt обеспечивает превосходный результат подтяжки тканей, формирование более четкого овала лица, уплотнение кожи, уменьшение объема нижней трети лица, лифтинг верхних век и бровей, разглаживание мелких морщин

• самое глубокое воздействие из всех аппаратных методик омоложения.
До недавнего времени воздействовать на SMAS (мышечно-апоневротический слой) и нижние слои дермы могли только хирурги

• эффект SMAS-лифтинга нарастает в течение 3 месяцев и сохраняется до 2 лет

• Ultraformer Mpt - аппарат нового поколения для ультразвукового SMAS-лифтинга: быстрее и мощнее аналогов

• 10 картриджей, в том числе круговые, что дает в совокупности в 4 раза больше возможностей для созданий индивидуального протокола омоложения с максимальной эффективностью

• благодаря специальной сыворотке можно получить WOW-эффект сияния кожи

• без реабилитации - процедуру можно комфортно вписать в повседневную жизнь 

Адрес: Химки, Московская, 21, клиника Космомама 

+79853313445

https://t.me/kosmetolog_kurkino
https://vk.com/dr_irinakovalenko
Запрещенограм - kosmomama_beauty

Peклaмa | ООО «Аксиома» | ИНН 7842411100 | еrid 2VtzqjGFRds"
28;"Химчане в 1973 году 🔥
Площадь перед администрацией на ул.Московская"
29;"От подписчика:
_____________
Остановка Пенсионный фонд на ул.Панфилова. А что грязно то так? Субботников ждем? Про местных свинообразных можете не говорить, и так все понятно, их уже не спасти, надежда лишь на ком.службы, которые позабыли про это место…"
30;Привет Химкам с берегов Балтийского моря ❤️
31;"Новая камерная баня на дровах с уличной купелью приглашает в гости! Для наших гостей БЕСПЛАТНАЯ аренда мангала!  Получи подарок от Точки Кипения!   Лучшее место по версии ""Яндекс"" в 2023 и 2024 году - Полная конфиденциальность - Бесплатная парковка для наших гостей - Закрытая территория - Бесплатный Wi-Fi на территории банного комплекса - Работаем круглосуточно!

Стоимость 1 часа: 

Понедельник - четверг - 2000₽ Пятница - воскресенье - 2500₽ Праздничные дни - 3000₽

Забронируй прямо сейчас: 
☎️ +79161321356

Наш сайт: 

https://tochkapik77.clients.site/?ysclid=m9qw4sgz0586449450

Точка кипения

Для души и тела 🔥🔥🔥

Peклaмa | ИП Кругликов А.В. | ИНН 504707735307 | 2VtzqPBdeW6a"
32;"Химкинская команда ДЮСШ по плаванию «Мастер» стала безоговорочным лидером на межрегиональных соревнованиях по плаванию🔥

Заключительный этап межрегиональных соревнований по плаванию Swim Cup Sprint прошел в подмосковном Раменском 20 апреля.

Команда «Мастера» снова побила свой же рекорд и привезла со спортивного мероприятия 35 медалей из 49 заявленных дисциплин, оставив далеко за своей спиной соперников.

https://masterswim.ru/tpost/tr31zc33p1-20-aprelya-proshyol-zaklyuchitelnii-etap"
33;"От подписчицы:
___________
Химчане, сморчки уже пошли! Вот такую красоту мы нарвали в лесах недалеко от Круглого озера в Химках 🍄‍🟫"
34;А на улице Кудрявцева уже и вишня расцвела, весна полным ходом! 🍒
35;"Москвичку оштрафовали на 100 тысяч рублей после того, как она прокатила маленького ребенка на электросамокате 🛴

Видео с нарушением очевидец отправил в службу поддержки  «Яндекс Go». После проверки виновнице выписали крупный штраф.

Согласно правилам, перевозка детей на самокатах запрещена при любых условиях. Наказание на серьезную сумму может также прилететь за передачу аккаунта несовершеннолетним или использование самоката детьми."
36;"⭐️В Химках пройдет военно-историческая реконструкция «Успех V единстве поколений» ко Дню 80-летия Победы

26 апреля на территории олимпийского учебно-спортивного центра “Планерная” начиная с 13.00 откроется выставка военной техники, интерактивные площадки, полевая кухня и концертная программа.

Главное событие дня - историческая реконструкция стартует в 15.30. Добраться до места проведения можно на бесплатных автобусах от «Арены Химки» и ТЦ «МЕГА Химки».

Все подробности о самом зрелищном событии весны — в видеоролике."
37;Вот и до сквера Рубцовой очередь дошла: начали красить памятники 👍🏼
38;"Все отделения «Почты России» при текущем объеме финансирования отремонтируют через 228 лет — в 2253 году🤷🏻‍♂️

Такие сроки следуют из доклада замгендиректора госкомпании Захара Грузнова. Ремонта ждут еще 21 805 отделений почтовой связи, ранее сроки были до 2030 года."
39;Неожиданные посетители в Сбере 😸
40;"😨 От подписчиков:
___________
Посмотрите, во что шашлычники превратили набережную ЖК Васко да Гама на ул.Ватутина. Мы живем здесь и недоумеваем, как можно так загаживать место, куда ты приходишь отдохнуть. Ну почему так сложно забрать с собой свой мусор???"
41;"❗️На М-11 жесткое ДТП в стиле Безумного Макса

На 195-м километре трассы столкнулись две фуры и легковушка.

После удара машины загорелись, но все участники аварии успели покинуть салоны. Два человека несильно пострадали.

Возгорание уже локализовано, но дорога в сторону Москвы всё еще перекрыта."
42;"Как проходит ремонт  детского сада «Радуга»

- Что изменится в здании после капитального ремонта?

- Сколько детей будет заниматься в детском саду? 

Об этом и многом другом рассказала исполняющая обязанности директора лицея №12 Юлия Ишкова."
43;
44;"И ещё к слову о пыльце: в Химках завтра и в выходные ожидается очень высокая концентрация пыльцы березы

Аллергики, держитесь! 🤧"
45;"Наглядно про разлетающуюся пыльцу 🤧

Ночью девушка сняла целое облако пыльцы от берёзы"
46;"В Химках открылся новый ресторан корейской кухни «KoreYami»  по адресу: 
Химки, Юбилейный пр., стр. 85, 
тел. +7 (495) 492-39-29
Телеграм : t.me/koreyami_kafe

Приглашаем к нам в кафе Кореями! 🍱 🥘 🍝 
У нас очень вкусно, уютно и душевно! 
Работает доставка, самовывоз.
Банкеты, корпоративы, дни рождения активно бронируются!
Вас ждет вкусная корейская еда, караоке, дискотека!
Пишите, звоните! Все обсудим!

Реклама | ИП Пак О.В. | ИHH 500404010897 | 2VtzqUyewWa"
47;"82-летний пенсионер вчера на Маяковского д.21/13 решил стать звездой двора 🫣

Решил он покататься на своих Жигулях прям по двору, задев припаркованные автомобили. Повезло, что не людей. Соседи увидели пожилого бедокура, быстро выбежали и успокоили его.

Сотрудники ДПС не ощутили запаха алкоголя, но, как сообщают очевидцы, личное признание любителя портвейна подтверждения особо не требует…"
48;"Доброе утро! Сегодня и завтра, по прогнозам синоптиков, последние теплые деньки на этой неделе 🥲

С четверга начнутся дожди и уже к выходным температура опустится до +6 и до -1 ночью. 

Следующая неделя ожидается тоже прохладной, майские в этот раз могут вообще не порадовать погодой."
49;"Готовимся к лету в SANSARA SPA: массажи, обертывания, прессотерапия🤗. Для Вас выгодные предложения по промокоду «Химки»

✨ Экспресс похудение к лету.
Прессотерапия + Обертывание - 3000₽

✨ Прессотерапия или Кедровая Бочка в подарок к любому массажу!

✨ Массаж лица + Прессотерапия в 🎁 подарок! 

✨ 💛 Смарт-Педикюр без покрытия — 2 300₽ / 2 500₽ мужской

💝Подарочные сертификат, выгодные абонементы и курсы процедур.

💛Запишитесь сейчас и получите идеальную фигуру к лету! 
📍SANSARA SPA, Куркино, Воротынская ул., д.18, ТЦ «Корабль», -1 этаж 
📞+7 (925) 790-05-13
https://vk.com/sansara_kurkino

*Предложения действует для новых клиентов"
50;"🎭 *ТЕАТРАЛЬНЫЙ ЛАГЕРЬ* 🎭

Классные, творческие, познавательные каникулы!🕺🤸💃

 ☘️_Расписание смен на ИЮНЬ:_ ☘️
🔹02.06 - 13.06 ""Фантастические миры""
🔹16.06 - 27.06 ""Вперед в будущее""

Каждая смена - это двухнедельное тематическое приключение, в котором каждый сможет проявить себя 🌟 как АКТЁР 🌟 РЕЖИССЕР🌟 ОПЕРАТОР 🌟 ХУДОЖНИК 🌟

✅Что будем делать?
Встречаемся с понедельника по пятницу с 8.30-18.00 и.... 
- Проводим актерские и речевые тренинги на свежем воздухе
- Снимаем ролики
- Репетируем показательное выступление к концу смены
- Смотрим и обсуждаем кино, знакомимся с мировыми актерами и режиссерами
- Участвуем в театральных состязаниях, квизах, импровизациях

Стоимость:
Раннее бронирование (до 30 апреля) - 26900 р. (вместо 29900 р.)
*Утренний перекус, обед, полдник включены в стоимость

WhatsApp +79167751767

🏡 Лагерь проходит в нашей студии по адресу: Молодежная улица 3а  (Химки)

Подробности на нашем сайте:
http://faberartis.ru/camp

#детскиелагеря #городскиелагеря
#лагерьхимки #театральнаястудия

Peклaмa | ИП Жуков В.Ю. | ИHH 575209063401 | 2VtzqVtrEswA"
51;"Ночной чат! 
Главная проблема Химок - это…?"
52;Опять ёжик в новых Химках! Вероятно тот же самый, ходит кругами по району. Сегодня был замечен на Бабакина, д.7 🦔
53;Мужик решил переплыть канал, но что-то пошло не так и очевидцы вызвали МЧС 🤔
54;Актуальное в преддверии погодных качелей 😅
55;"Химкинский слесарь победил в чемпионате профессионального мастерства 🏆

Слесарь-сборщик 4-го разряда НПО «Энергомаш» Владимир Попков стал победителем в компетенции «Слесарное дело» регионального этапа XI Московского областного чемпионата по профессиональному мастерству среди лиц с ограниченными возможностями здоровья.

Скоро он представит Подмосковье на Национальном чемпионате, который проведут в октябре в Москве."
56;"Демо-версия лета в Химках 😁
На пляже парка Толстого народ уже вовсю загарает)"
57;"Аллергикам привет: в ближайшие дни концентрация аллергенов в воздухе в Химках будет высокой

Многие могут заметить заложенность носа, чихание и общее недомогание. Но есть и хорошие новости: к концу недели ситуация начнёт улучшаться, и дышать станет немного легче.

Страдаете от аллергии?"
58;"Как поменяется роддом в Химках после капитального ремонта?

⏺Какое оборудование появится в учреждении?

⏺Когда специалисты завершат работы?

Об этом и многом другом  рассказал главный врач Химкинской клинической больницы Владислав Мирзонов.
Ru"
59;"❗️На М-11 с 21 апреля вводится летний скоростной режим - можно будет «летать» со скоростью 130 км/ч

P.S. Зимний скоростной режим подразумевал ограничение до 110 км/ч"
60;"Есть отличная новость: началась последняя полная неделя перед майскими 🔥

Следующие две будут трёхдневными, а 30 апреля — сокращённый день.

Осталось немного потерпеть!"
61;"В Подмосковных лесах зацвело опасное и редкое растение

Это волчеягодник обыкновенный, растение токсично целиком. Ядовиты корни, стебли, листья и ягоды кустарника. Плоды волчеягодника привлекательные, ярко-красные. Однако достаточно двух ягод, чтобы вызвать отравление, и более пяти, чтоб получить летальный исход. Сок растения вызывает термические ожоги, а также раздражение кожи и слизистых.

Кустарник не рекомендуется даже трогать и нюхать. Это чревато симптомами тошноты и головной боли."
62;"Пернатые обитатели мусорок на Мельникова 🦅
Не одними крысами богаты)"
63;Пасхальная ночь в Богоявленском храме на Лавочкина🕯️
64;"Ночной чат!
Ну как, кулич отведать удалось? Присылайте в комменты свой пасхальный набор, если праздновали)"
65;"Станция Химки сегодня, опять 🤦🏻‍♂️

Почему это стало так популярно у подростков? В чем смысл?"
66;Судовладельцы уже расчехлили свои катера, не дождавшись официального открытия речной навигации 🚤🚤🚤
67;"От подписчика:
____________
Живу на Панфилова и хочу поделиться забавными наблюдениями. Есть здесь недостроенный офисник, который около 15 лет уродует своим видом весь район.

И все 15 лет здесь меняется дата окончания строительства.
В 2010 обещали построить в 2012;
В 2012 обещали построить в 2015;
В 2015 обещали построить в 2025;
А в 2024 срок сдвинули до 2026 🤔

При этом, как раз в прошлом году были новости о смене собственника, нерентабельности проекта и продаже этого недостроя за 3,3 млрд ₽

Неужто нашли покупателя и он хочет все достроить? Иначе зачем опять срок то менять?"
68;На Ленинградке у НПО Лавочкина почистили и покрасили памятник погибшим лётчикам 🫡
69;
70;"Ну вот Химки и расцвели! Красота! 🌳

Фото - ShiroKopeyka Photos"
71;"Привет всем жителям, у кого окна на дорогу выходят 🥲

Не одними же самокатами вам надоедать! Теперь ещё громкие мопеды и мотоциклы будут все лето)
На видео перекресток Юбилейного пр-та и Нагорного ш.

Как относитесь к таким гонщикам и шуму от их железных коней?"
72;"Хорошая и не очень новость из парка Дубки со стороны ул.Лавочкина…

То, чего так долго добивались местные активисты - свершилось! В парк включили ранее спорные участки земли, которые когда-то предполагались под застройку. Теперь это только территория парка и вчера начался перенос забора на актуальные границы новых участков, которые присоединили за последние годы.

А не очень новость в том, что глаз местных жителей будут «радовать» очередные заборы, заборы, заборы, повсюду сплошные заборы, которые установят, как при входе в парк (на фото), так и вдоль ул.Лавочкина до храма.

Как относитесь к идее и ГОСТам по безопасности всё ограждать в городе? Не портит ли это облик?"
73;"Милейшая история из ЖК Город Набережных! Утка уже 3-й год подряд делает гнездо на балконе у местной жительницы 🐣

В 2023 году обычная дикая утка прилетела на балкон к местным жителям. Уселась на горшок из под цветов, а потом решила свить там гнездо! И вполне удачно - вскоре вылупились птенцы, которых местные жители вместе с мамой-уткой аккуратно перенесли к реке у ЖК.

Такая же история повторилась в 2024 и теперь повторяется и сейчас, в апреле 2025. Уточка на днях прилетела, свила гнездо в горшке, отложила яйца и теперь сидит высиживает.

Побольше бы таких прекрасных историй! 🥰

Видео - Иван Диев"
74;Поздравляем со светлым праздником Пасхи! 🕊️
75;"В Клязьме-Старбеево какие-то ребята сейчас разожгли костер, высотою 7-8 метров 🔥😱

Масленицу повторно сжигают что ли, чтоб уж точно никакого снега не было больше?"
76;❗️На Мельникова, д.6, что-то загорелось. На месте несколько пожарных и скорая.
77;"❗️На канале напротив Химок утонул рыбак

В канале со стороны Долгопрудного было обнаружено тело мужчины. По предварительной информации, погибший, 1977 года рождения, рыбачил с бетонного парапета в районе Долгопрудненского парка (через канал напротив ЖК Загородный квартал). Там он и сорвался в воду. 

Рядом нашли его сумку с пустой бутылкой крепкого алкоголя – возможно, именно это стало роковым фактором."
78;"Мотосезон в Химках официально открыт! 🏍️

Байкеры из местных клубов организовали мотопробег и колонной проехались по всему городу"
79;"А вот и ремонт Новосходненского шоссе ⚒️
Пока что начали с замены бордюров, вторым этапом будет новый асфальт"
80;"Купальный сезон у пляжа парка Толстого открыт! 🌊

Бесстрашные химкинские пацаны уже оценили водичку, говорят нормальная"
81;"В Химках уже проснулась всякая насекомая живность 🐝

На фото парк Толстого"
82;"❗️ДТП на Новосходненском с другого ракурса

Опять каршеринг…"
83;"Вот это ажиотаж! Обстановка в Богоявленском храме на Лавочкина прямо сейчас 😱
Все пришли освящать куличи и пасхальные яйца"
84;"Сегодня все жалуются на горячие батареи при такой погоде, но надо понимать, что по щелчку пальцев отопление не включается и не выключается) 

Постепенно заканчивать отопительный сезон в Химках планируют с 21 апреля, но уже к концу следующей недели опять похолодание 😅

Стоит ли выключать отопление или лучше подождать ещё недельку?"
85;"❗️ДТП на Новосходненском

Один из участников аварии - старенький Мерседес с 2 собачками в салоне. Никто сильно не пострадал."
86;"Ну хоть где-то все стабильно 😁
Ул.Гоголя 14"
87;"От подписчика:
____________
Панфилова 4. Автомобилей во дворе уже настолько много, что водители паркуются прямо на тротуаре, заставлено все! Пройти невозможно, ходить можно только по проезжей части, но там тоже машины 😟"
88;"🥲 И снова Барашкинский пруд. От подписчицы:
_____________________
Вот в таком плачевном состоянии Барашкинский пруд в новых Химках. Просто плавучая мусорка вдоль берегов и это в центре Химок. И в целом место, как заброшка какая-то, все развалено и разбито. Хотя бы очистку прибрежной территории от мусора провели!"
89;Утра всем доброго и классных выходных! Сегодня аж до +26! Самое время выехать куда-нибудь загород на пикник 😎
90;"В Химках уже появились комары 🦟 

И не только у нас они проснулись, а во всем регионе. Специалисты расходятся во мнениях о причинах: одни связывают рост численности насекомых с весенним похолоданием и дождями, которые могли привести к гибели птиц, питающихся личинками комаров. Другие указывают на тёплую зиму как основной фактор. Масштабы нашествия также будут зависеть от количества осадков.

Скучали?"
91;Праздник к нам приходит…! До Нового года осталось 256 дней, но в Химках на Совхозной уже все готово! 🎄
92;"⚡️Беспилотные автомобили могут быть введены на дороги общего пользования к 2027 году в России, — Минтранс РФ.

А вот эти красные беспилотные Камазы вы уже могли встретить на М-11, там они катаются в штатном режиме от Москвы до Питера и обратно."
